_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_,COUNT_CLEARED
322,2014,D32,Crimes Against Property,Auto Theft,9,0
323,2020,D12,Crimes Against Property,Auto Theft,2,0
324,2015,D23,Crimes Against Property,Break & Enter-Commercial,7,0
325,2016,NSA,Crimes Against Property,Fraud,1,0
326,2021,D51,Crimes Against Property,Break & Enter-House,2,0
327,2022,D22,Crimes Against Property,Break & Enter-Commercial,2,0
328,2020,D41,Crimes Against Property,Break & Enter-House,1,0
329,2018,D13,Crimes Against Property,Break & Enter-Commercial,3,0
330,2016,D32,Crimes Against Property,Break & Enter-Apartment,2,0
331,2021,D51,Other Federal Statute Violations,Other,1,0
332,2023,D13,Crimes Against Property,Theft Over $5000,2,0
333,2016,D33,Crimes Against the Person,Attempt Murder,1,0
334,2019,D43,Crimes Against Property,Theft Over $5000,3,0
335,2023,D41,Crimes Against Property,Auto Theft,45,0
336,2020,D32,Crimes Against Property,Break & Enter-Commercial,4,0
337,2016,D32,Crimes Against Property,Theft Under $5000,1,0
338,2021,D53,Crimes Against Property,Break & Enter-Other,1,0
339,2015,D12,Crimes Against Property,Theft Over $5000,3,0
340,2022,D12,Crimes Against Property,Fraud,12,0
341,2015,D33,Crimes Against Property,Break & Enter-Apartment,1,0
342,2016,D14,Crimes Against Property,Auto Theft,3,0
343,2015,D53,Crimes Against the Person,Sexual Violation,2,0
344,2021,D13,Crimes Against Property,Break & Enter-House,5,0
345,2019,D13,Crimes Against Property,Break & Enter-Apartment,1,0
346,2020,D11,Crimes Against the Person,Robbery-Other,1,0
347,2022,D55,Crimes Against Property,Fraud,43,0
348,2020,D12,Crimes Against Property,Break & Enter-Other,1,0
349,2018,D23,Crimes Against Property,Break & Enter-Other,1,0
350,2016,D55,Crimes Against Property,Theft Over $5000,3,0
351,2021,NSA,Crimes Against Property,Auto Theft,1,0
352,2014,D41,Crimes Against Property,Fraud,1,0
353,2018,D33,Crimes Against Property,Break & Enter-House,4,0
354,2022,D53,Crimes Against Property,Theft Over $5000,1,0
355,2016,D55,Crimes Against Property,Theft Over $5000,7,0
356,2018,NSA,Crimes Against Property,Fraud,1,0
357,2018,D12,Crimes Against Property,Break & Enter-House,4,0
358,2017,D43,Crimes Against Property,Theft Over $5000,1,0
359,2020,D53,Crimes Against Property,Break & Enter-Other,4,0
360,2020,D31,Crimes Against Property,Other,3,0
361,2015,D32,Crimes Against Property,Auto Theft,20,0
362,2017,D32,Crimes Against Property,Break & Enter-Apartment,1,0
363,2019,D42,Crimes Against Property,Break & Enter-House,26,0
364,2016,D22,Crimes Against Property,Break & Enter-Other,3,0
365,2021,D22,Crimes Against Property,Break & Enter-House,11,0
366,2018,D23,Crimes Against Property,Theft Over $5000,3,0
367,2017,D51,Other Federal Statute Violations,Other,2,0
368,2023,D41,Crimes Against Property,Other,24,0
369,2021,D53,Crimes Against Property,Theft Over $5000,3,0
370,2020,D32,Crimes Against Property,Break & Enter-Other,2,0
371,2018,D55,Crimes Against the Person,Assault,1,0
372,2014,D52,Crimes Against the Person,Robbery-Other,2,0
373,2018,D13,Crimes Against Property,Break & Enter-Other,3,0
374,2016,D13,Crimes Against Property,Auto Theft,3,0
375,2022,D12,Crimes Against Property,Auto Theft,13,0
376,2023,D55,Crimes Against the Person,Sexual Violation,1,0
377,2021,D33,Crimes Against Property,Break & Enter-Apartment,1,0
378,2015,D22,Crimes Against Property,Break & Enter-Other,5,0
379,2016,D55,Crimes Against Property,Break & Enter-House,12,0
380,2015,D22,Crimes Against the Person,Robbery-Other,1,0
381,2018,D41,Crimes Against Property,Break & Enter-House,2,0
382,2019,NSA,Crimes Against Property,Fraud,1,0
383,2016,D13,Crimes Against Property,Break & Enter-Other,1,0
384,2021,D51,Crimes Against Property,Theft Under $5000,85,0
385,2021,NSA,Crimes Against Property,Theft Under $5000,1,0
386,2014,D31,Crimes Against Property,Break & Enter-Commercial,2,0
387,2016,D11,Crimes Against Property,Break & Enter-House,5,0
388,2014,D55,Crimes Against Property,Break & Enter-Other,2,0
389,2019,D32,Crimes Against Property,Break & Enter-Apartment,3,0
390,2017,D53,Crimes Against Property,Other,1,0
391,2022,D53,Crimes Against Property,Fraud,20,0
392,2018,D14,Crimes Against Property,Auto Theft,7,0
393,2018,D13,Crimes Against Property,Break & Enter-Commercial,1,0
394,2022,D51,Crimes Against Property,Theft Under $5000,1,0
395,2023,D32,Crimes Against Property,Theft Over $5000,1,0
396,2017,D11,Crimes Against the Person,Assault,1,0
397,2018,D13,Crimes Against the Person,Robbery-Other,1,0
398,2016,D12,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,0
399,2021,D42,Crimes Against the Person,Sexual Violation,1,0
400,2021,D53,Crimes Against Property,Theft Over $5000,6,0
401,2016,D53,Crimes Against Property,Break & Enter-Other,1,0
402,2016,D32,Crimes Against Property,Theft Over $5000,1,0
403,2016,D13,Crimes Against Property,Break & Enter-Commercial,1,0
404,2017,NSA,Crimes Against the Person,Sexual Violation,1,0
405,2022,D33,Crimes Against Property,Break & Enter-Apartment,2,0
406,2020,D32,Crimes Against Property,Break & Enter-Apartment,1,0
407,2018,D11,Crimes Against Property,Break & Enter-Other,5,0
408,2023,D12,Crimes Against Property,Fraud,13,0
409,2015,D43,Crimes Against Property,Break & Enter-Apartment,4,0
410,2014,D12,Crimes Against Property,Fraud,5,0
411,2014,D23,Crimes Against Property,Auto Theft,10,0
412,2018,D11,Crimes Against Property,Break & Enter-House,17,0
413,2019,D53,Crimes Against the Person,Sexual Violation,1,0
414,2021,D43,Crimes Against Property,Theft Under $5000,4,0
415,2020,D33,Crimes Against Property,Fraud,29,0
416,2023,D55,Crimes Against Property,Auto Theft,32,0
417,2021,D53,Crimes Against Property,Auto Theft,23,0
418,2019,D22,Crimes Against Property,Break & Enter-Other,2,0
419,2022,D32,Crimes Against Property,Break & Enter-Other,2,0
420,2016,D51,Crimes Against Property,Theft Under $5000,1,0
421,2016,D23,Crimes Against Property,Break & Enter-House,11,0
422,2020,D55,Crimes Against Property,Theft Over $5000,2,0
423,2023,D43,Crimes Against Property,Break & Enter-Apartment,1,0
424,2020,D32,Crimes Against Property,Break & Enter-Apartment,1,0
425,2021,D55,Crimes Against Property,Break & Enter-Commercial,17,0
426,2016,D53,Crimes Against Property,Auto Theft,5,0
427,2021,D13,Criminal Code Traffic,Other,1,0
428,2019,D55,Crimes Against Property,Break & Enter-Apartment,1,0
429,2021,D41,Crimes Against Property,Auto Theft,14,0
430,2023,D14,Crimes Against Property,Break & Enter-House,7,0
431,2016,D32,Crimes Against Property,Auto Theft,28,0
432,2020,D12,Crimes Against the Person,Other,4,0
433,2018,D43,Crimes Against Property,Break & Enter-House,5,0
434,2016,D14,Crimes Against the Person,Sexual Violation,1,0
435,2016,D12,Crimes Against Property,Theft Over $5000,4,0
436,2021,D14,Crimes Against Property,Auto Theft,2,0
437,2018,D33,Crimes Against Property,Theft Over $5000,2,0
438,2023,D43,Other Criminal Code Violations,Other,1,0
439,2020,D12,Crimes Against Property,Break & Enter-House,10,0
440,2017,D51,Crimes Against Property,Fraud,1,0
441,2022,D11,Crimes Against Property,Break & Enter-Apartment,3,0
442,2014,D22,Crimes Against Property,Break & Enter-Other,2,0
443,2018,D51,Crimes Against Property,Break & Enter-Other,2,0
444,2019,D53,Crimes Against Property,Theft Over $5000,1,0
445,2017,D41,Crimes Against Property,Break & Enter-Other,2,0
446,2018,NSA,Crimes Against the Person,Sexual Violation,1,0
447,2022,D53,Crimes Against Property,Break & Enter-Apartment,1,0
448,2021,D23,Crimes Against Property,Theft Over $5000,2,0
449,2019,D33,Crimes Against Property,Theft Under $5000,1,0
450,2016,D23,Crimes Against Property,Break & Enter-Other,4,0
451,2014,D33,Other Criminal Code Violations,Other,1,0
452,2015,D32,Crimes Against Property,Break & Enter-Apartment,3,0
453,2018,D53,Crimes Against Property,Theft Over $5000,3,0
454,2017,D43,Crimes Against Property,Auto Theft,1,0
455,2022,D51,Crimes Against Property,Auto Theft,11,0
456,2018,D33,Crimes Against Property,Break & Enter-Apartment,16,0
457,2014,D53,Crimes Against Property,Break & Enter-Other,2,0
458,2021,D11,Crimes Against the Person,Sexual Violation,1,0
459,2019,D11,Crimes Against the Person,Sexual Violation,1,0
460,2016,D23,Crimes Against the Person,Sexual Violation,1,0
